TITLE = "Argon Cross Section Data"
VARIABLES = "Energy (eV)",
"R0-e+Ar>e+Ar",
"R1-e+Ar>e+Ar*",
"R2-e+Ar>e+Ar*m",
"R3-e+Ar>2e+Ar^",
"R4-e+Ar*m>2e+Ar^",
"R5-Ar+Ar^>Ar^+Ar",
"R6-Ar+Ar^>Ar+Ar^",
ZONE I = 81, F=BLOCK,
 T="1-D DATA",
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.020e-22	6.220e-21	
	1.312e-20	1.923e-20	2.384e-20	2.532e-20	2.645e-20	2.736e-20	
	2.850e-20	2.679e-20	2.498e-20	2.391e-20	2.190e-20	1.955e-20	
	1.730e-20	1.448e-20	1.254e-20	1.059e-20	8.600e-21	7.461e-21	
	6.196e-21	5.211e-21	4.381e-21	3.503e-21	3.011e-21	2.396e-21	
	2.007e-21	1.659e-21	1.350e-21		0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.790e-20	
	4.499e-20	6.643e-20	8.105e-20	8.736e-20	8.805e-20	8.545e-20	
	8.103e-20	7.726e-20	7.261e-20	6.715e-20	6.144e-20	5.519e-20	
	4.880e-20	4.347e-20	3.738e-20	3.230e-20	2.743e-20	2.366e-20	
	1.992e-20	1.677e-20	1.387e-20	1.147e-20	9.560e-21	7.953e-21	
	6.616e-21	5.504e-21	4.579e-21	3.809e-21	3.169e-21	2.636e-21	
	2.193e-21	1.824e-21	1.517e-21		4.930e-19	4.930e-19	4.930e-19	4.930e-19	4.930e-19	4.930e-19	
	4.930e-19	4.930e-19	4.930e-19	4.930e-19	4.930e-19	4.930e-19	
	4.930e-19	4.930e-19	4.930e-19	4.930e-19	4.930e-19	4.930e-19	
	4.930e-19	4.930e-19	4.930e-19	4.815e-19	4.752e-19	4.740e-19	
	4.748e-19	4.783e-19	4.822e-19	4.855e-19	4.892e-19	4.918e-19	
	4.930e-19	4.927e-19	4.902e-19	4.860e-19	4.801e-19	4.723e-19	
	4.632e-19	4.529e-19	4.423e-19	4.323e-19	4.230e-19	4.155e-19	
	4.102e-19	4.064e-19	4.042e-19	4.039e-19	4.030e-19	4.030e-19	
	4.019e-19	4.002e-19	3.980e-19	3.941e-19	3.892e-19	3.840e-19	
	3.781e-19	3.724e-19	3.650e-19	3.582e-19	3.515e-19	3.441e-19	
	3.370e-19	3.295e-19	3.223e-19	3.154e-19	3.081e-19	3.015e-19	
	2.950e-19	2.882e-19	2.815e-19	2.751e-19	2.690e-19	2.628e-19	
	2.563e-19	2.510e-19	2.451e-19	2.396e-19	2.344e-19	2.289e-19	
	2.236e-19	2.184e-19	2.140e-19		1.390e-18	1.390e-18	1.390e-18	1.390e-18	1.390e-18	1.390e-18	
	1.390e-18	1.390e-18	1.390e-18	1.390e-18	1.390e-18	1.390e-18	
	1.390e-18	1.390e-18	1.390e-18	1.390e-18	1.390e-18	1.390e-18	
	1.390e-18	1.390e-18	1.390e-18	1.241e-18	1.096e-18	9.758e-19	
	8.660e-19	7.669e-19	6.811e-19	6.035e-19	5.348e-19	4.771e-19	
	4.240e-19	3.823e-19	3.455e-19	3.169e-19	2.935e-19	2.769e-19	
	2.642e-19	2.546e-19	2.475e-19	2.407e-19	2.320e-19	2.216e-19	
	2.077e-19	1.912e-19	1.721e-19	1.503e-19	1.296e-19	1.085e-19	
	8.947e-20	7.262e-20	5.750e-20	4.545e-20	3.522e-20	2.727e-20	
	2.085e-20	1.578e-20	1.200e-20	9.032e-21	6.765e-21	5.097e-21	
	3.770e-21	2.834e-21	2.099e-21	1.568e-21	1.167e-21	8.642e-22	
	6.454e-22	4.776e-22	3.532e-22	2.635e-22	1.940e-22	1.448e-22	
	1.065e-22	7.914e-23	5.905e-23	4.355e-23	3.245e-23	2.399e-23	
	1.766e-23	1.317e-23	9.690e-24	
